threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy
0.39,0.9249162011173184,0.9563308687615527,0.9403612404861978,1976,336,189,4139,0.6739457831325302,0.1453287197231834,0.04366913123844732,0.8546712802768166,0.9055010745191847
0.4,0.9286678667866787,0.9535582255083179,0.9409484724122207,1995,317,201,4127,0.6692771084337349,0.1371107266435986,0.04644177449168207,0.8628892733564014,0.9082237494323597
0.41,0.9319927699954812,0.9530961182994455,0.9424263193968472,2011,301,203,4125,0.666566265060241,0.13019031141868512,0.046903881700554526,0.8698096885813149,0.9114529034403802
0.42,0.9340285649512582,0.9519408502772643,0.9428996452683374,2021,291,208,4120,0.6643072289156626,0.1258650519031142,0.04805914972273567,0.8741349480968859,0.9130378991870751
0.43,0.9371584699453552,0.9510166358595195,0.9440366972477064,2036,276,212,4116,0.6614457831325301,0.11937716262975778,0.048983364140480594,0.8806228373702422,0.9158197366148808
0.44,0.9422680412371134,0.9503234750462107,0.9462786149775682,2060,252,215,4113,0.6573795180722891,0.10899653979238755,0.049676524953789276,0.8910034602076125,0.9206634676269116
0.45,0.9454419889502762,0.9489371534195934,0.9471863468634686,2075,237,221,4107,0.6542168674698795,0.10250865051903114,0.051062846580406655,0.8974913494809689,0.9232142514502811
0.46,0.9466635880858923,0.9473197781885397,0.9469915694652963,2081,231,228,4100,0.6522590361445784,0.09991349480968859,0.05268022181146026,0.9000865051903114,0.9237031416894256
0.47,0.949443413729128,0.9459334565619224,0.9476851851851852,2094,218,234,4094,0.6493975903614457,0.09429065743944637,0.05406654343807763,0.9057093425605537,0.9258213995612381
0.48,0.9553111839026673,0.9433918669131238,0.9493141129969774,2121,191,245,4083,0.6436746987951807,0.08261245674740485,0.05660813308687616,0.9173875432525952,0.9303897050828596
0.49,0.9563892145369285,0.9424676524953789,0.9493774002094728,2126,186,249,4079,0.6423192771084337,0.08044982698961937,0.05753234750462107,0.9195501730103807,0.9310089127528798
0.5,0.9589719405800519,0.9396950092421442,0.9492356167580814,2138,174,261,4067,0.6387048192771084,0.07525951557093426,0.06030499075785582,0.9247404844290658,0.932217746835605
0.51,0.9633595051153938,0.9355360443622921,0.9492439338881725,2158,154,279,4049,0.6329819277108434,0.06660899653979238,0.06446395563770795,0.9333910034602076,0.9344635239112499
0.52,0.9643284654057936,0.9306839186691312,0.9472075249853028,2163,149,300,4028,0.629066265060241,0.06444636678200692,0.06931608133086876,0.9355536332179931,0.9331187759435622
0.53,0.966987951807229,0.9272181146025879,0.946685539042227,2175,137,315,4013,0.625,0.0592560553633218,0.0727818853974122,0.9407439446366782,0.933981029619633
0.54,0.9699685153790264,0.925369685767098,0.9471443774388081,2188,124,323,4005,0.6218373493975904,0.05363321799307959,0.07463031423290203,0.9463667820069204,0.9358682338870092
0.55,0.9713244228432564,0.9235212569316081,0.9468198507639465,2194,118,331,3997,0.6197289156626506,0.05103806228373702,0.07647874306839186,0.948961937716263,0.9362415973239355
0.56,0.9731641863869236,0.9216728280961183,0.9467188797911475,2202,110,339,3989,0.6173192771084337,0.04757785467128028,0.0783271719038817,0.9524221453287197,0.937047486712419
0.57,0.973825831702544,0.9198243992606284,0.9460551330798479,2205,107,347,3981,0.6156626506024097,0.046280276816609,0.08017560073937154,0.953719723183391,0.9367720612220097
0.58,0.9751842751842752,0.9170517560073937,0.9452250535841867,2211,101,359,3969,0.6129518072289156,0.04368512110726644,0.08294824399260628,0.9563148788927336,0.9366833174500637
0.59,0.975826344351258,0.9140480591497228,0.943927463612503,2214,98,372,3956,0.6105421686746988,0.04238754325259515,0.08595194085027727,0.9576124567474048,0.9358302579485638
0.6,0.9767269126021293,0.9115064695009242,0.9429903191107925,2218,94,383,3945,0.6082831325301205,0.04065743944636678,0.08849353049907578,0.9593425605536332,0.9354245150272786
0.61,0.9773800646283868,0.9085027726432532,0.9416836307029098,2221,91,396,3932,0.6058734939759036,0.0393598615916955,0.09149722735674677,0.9606401384083045,0.9345714555257789
0.62,0.9792707292707292,0.9059611829944547,0.9411905904944791,2229,83,407,3921,0.6030120481927711,0.035899653979238756,0.09403881700554528,0.9641003460207612,0.9350307645076079
0.63,0.9821428571428571,0.902264325323475,0.9405105973025049,2241,71,423,3905,0.5987951807228916,0.030709342560553632,0.09773567467652496,0.9692906574394463,0.9357774913814607
0.64,0.9843315643164013,0.8999537892791127,0.9402534701267351,2250,62,433,3895,0.595933734939759,0.026816608996539794,0.10004621072088725,0.9731833910034602,0.9365685901412865
0.65,0.9853090172239108,0.8987985212569316,0.9400676655389076,2254,58,438,3890,0.594578313253012,0.025086505190311418,0.1012014787430684,0.9749134948096886,0.9368560080333102
0.66,0.9855219710439421,0.8964879852125693,0.9388989715668482,2255,57,448,3880,0.592921686746988,0.024653979238754325,0.10351201478743069,0.9753460207612457,0.9359170029869075
0.67,0.9859943977591037,0.8946395563770795,0.9380981223500908,2257,55,456,3872,0.5914156626506024,0.02378892733564014,0.10536044362292052,0.9762110726643599,0.9354253145207196
0.68,0.9872318692543411,0.8932532347504621,0.9378942261038331,2262,50,462,3866,0.5897590361445784,0.02162629757785467,0.1067467652495379,0.9783737024221453,0.9358134685863038
0.69,0.9894871794871795,0.8916358595194085,0.9380165289256198,2271,41,469,3859,0.5873493975903614,0.01773356401384083,0.1083641404805915,0.9822664359861591,0.9369511477527839
0.7,0.9902288506042685,0.8897874306839186,0.9373250578069855,2274,38,477,3851,0.5856927710843374,0.01643598615916955,0.11021256931608132,0.9835640138408305,0.9366757222623745
0.71,0.9909747292418772,0.8879390018484289,0.9366317328783816,2277,35,485,3843,0.5840361445783132,0.01513840830449827,0.11206099815157117,0.9848615916955017,0.9364002967719653
0.72,0.9922480620155039,0.8872458410351202,0.936813857038302,2282,30,488,3840,0.5828313253012049,0.012975778546712802,0.11275415896487985,0.9870242214532872,0.9371350312442037
0.73,0.9935249935249936,0.8863216266173752,0.93686652826963,2287,25,492,3836,0.5814759036144578,0.010813148788927335,0.11367837338262476,0.9891868512110726,0.9377542389142239
0.74,0.9948038451545856,0.8847042513863216,0.936529289470466,2292,20,499,3829,0.5796686746987951,0.00865051903114187,0.11529574861367838,0.9913494809688581,0.9380268661775899
0.75,0.9947889525794684,0.8821626617375231,0.935096742591232,2292,20,510,3818,0.5780120481927711,0.00865051903114187,0.1178373382624769,0.9913494809688581,0.9367560713531906
0.76,0.9955578782336033,0.8803142329020333,0.9343960760269773,2295,17,518,3810,0.576355421686747,0.007352941176470588,0.11968576709796673,0.9926470588235294,0.9364806458627813
0.77,0.9958115183246073,0.8789279112754159,0.9337260677466863,2296,16,524,3804,0.5753012048192772,0.006920415224913495,0.12107208872458411,0.9930795847750865,0.9360037480252512
