threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,selected_candidate_rules
0.39,0.6927083333333334,0.7926102502979738,0.7392996108949417,1056,295,174,665,0.4383561643835616,0.21835677276091783,0.20738974970202623,0.7816432272390822,0.787126738768528,
0.4,0.7035445757250268,0.7806912991656734,0.7401129943502824,1075,276,184,655,0.42511415525114155,0.20429311621021465,0.21930870083432658,0.7957068837897854,0.7881990914777294,
0.41,0.7152245345016429,0.7783075089392133,0.7454337899543378,1091,260,186,653,0.4168949771689498,0.19245003700962252,0.22169249106078665,0.8075499629903775,0.7929287359647954,
0.42,0.7219132369299222,0.7735399284862932,0.7468354430379747,1101,250,190,649,0.41050228310502285,0.1850481125092524,0.22646007151370678,0.8149518874907475,0.7942459079885203,
0.43,0.7335600907029478,0.7711561382598331,0.7518884369552585,1116,235,192,647,0.40273972602739727,0.17394522575869725,0.22884386174016685,0.8260547742413027,0.7986054562505679,
0.44,0.754079254079254,0.7711561382598331,0.7625220978196818,1140,211,192,647,0.3917808219178082,0.15618060695780903,0.22884386174016685,0.843819393042191,0.807487765651012,
0.45,0.7657550535077289,0.767580452920143,0.7666666666666667,1154,197,195,644,0.38401826484018264,0.14581791265729088,0.232419547079857,0.8541820873427091,0.8108812701314261,
0.46,0.7695078031212484,0.7640047675804529,0.7667464114832536,1159,192,198,641,0.38036529680365294,0.14211695040710584,0.2359952324195471,0.8578830495928942,0.8109439085866735,
0.47,0.7781862745098039,0.7568533969010727,0.7673716012084593,1170,181,204,635,0.3726027397260274,0.13397483345669875,0.2431466030989273,0.8660251665433013,0.8114392817221869,
0.48,0.8020434227330779,0.7485101311084624,0.7743526510480888,1196,155,211,628,0.35753424657534244,0.11472982975573649,0.25148986889153757,0.8852701702442635,0.816890150676363,
0.49,0.8067010309278351,0.7461263408820024,0.7752321981424148,1201,150,213,626,0.354337899543379,0.11102886750555144,0.25387365911799764,0.8889711324944486,0.8175487366882255,A_maximum_f1;recommended_run_aware
0.5,0.8167330677290837,0.733015494636472,0.7726130653266332,1213,138,224,615,0.34383561643835614,0.10214655810510732,0.266984505363528,0.8978534418948927,0.8154344682656823,D_closest_to_0_50_recall_ge_0_90
0.51,0.8361111111111111,0.7175208581644815,0.77228992944195,1233,118,237,602,0.3287671232876712,0.08734270910436713,0.2824791418355185,0.9126572908956329,0.8150890745300572,
0.52,0.8388017118402282,0.700834326579261,0.7636363636363637,1238,113,251,588,0.32009132420091324,0.08364174685418209,0.29916567342073896,0.9163582531458179,0.8085962898625394,
0.53,0.8505917159763313,0.6853396901072706,0.759075907590759,1250,101,264,575,0.308675799086758,0.07475943745373798,0.3146603098927294,0.9252405625462621,0.8052901263267663,
