machine_id,run_id,segment_id,start_time,end_time,duration_seconds,row_count,median_interval_seconds,number_of_gaps_before_segment,safe_for_5min_label,safe_for_10min_label
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_035,2026-07-28 12:23:21.422000+00:00,2026-07-28 12:23:21.422000+00:00,0.0,1,,34,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_036,2026-07-28 12:23:33.575000+00:00,2026-07-28 12:23:33.575000+00:00,0.0,1,,35,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_037,2026-07-28 12:23:45.490000+00:00,2026-07-28 12:23:45.490000+00:00,0.0,1,,36,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_038,2026-07-28 12:23:57.428000+00:00,2026-07-28 12:23:57.428000+00:00,0.0,1,,37,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_039,2026-07-28 12:24:09.269000+00:00,2026-07-28 12:24:09.269000+00:00,0.0,1,,38,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_040,2026-07-28 12:24:21.482000+00:00,2026-07-28 12:24:21.482000+00:00,0.0,1,,39,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_041,2026-07-28 12:24:33.576000+00:00,2026-07-28 12:24:33.576000+00:00,0.0,1,,40,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_042,2026-07-28 12:24:45.271000+00:00,2026-07-28 12:24:45.271000+00:00,0.0,1,,41,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_043,2026-07-28 12:24:57.209000+00:00,2026-07-28 12:24:57.209000+00:00,0.0,1,,42,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_044,2026-07-28 12:25:08.397000+00:00,2026-07-28 12:33:22.497000+00:00,494.1,178,2.048,43,True,False
