feature_name,training_data_type,training_missing_count,training_missing_percentage,training_unique_count,training_infinite_count,retained_or_removed,reason,median_learned_from_train,missing_indicator_created,high_training_missingness_20pct
cpu_pct_min_60s,float64,0,0.0,402,0.0,retained,retained_numeric_training_feature,7.0,False,False
cpu_pct_std_60s,float64,21,0.1401,14801,0.0,retained,retained_numeric_training_feature,4.578233084397871,True,False
cpu_pct_change_60s,float64,0,0.0,2465,0.0,retained,retained_numeric_training_feature,-0.0999999999999996,False,False
cpu_pct_missing_pct_60s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
cpu_pct_mean_120s,float64,0,0.0,12895,0.0,retained,retained_numeric_training_feature,13.434426229508198,False,False
cpu_pct_max_120s,float64,0,0.0,438,0.0,retained,retained_numeric_training_feature,36.2,False,False
cpu_pct_min_120s,float64,0,0.0,330,0.0,retained,retained_numeric_training_feature,6.1,False,False
cpu_pct_std_120s,float64,21,0.1401,14843,0.0,retained,retained_numeric_training_feature,5.051396760610581,True,False
cpu_pct_change_120s,float64,0,0.0,2593,0.0,retained,retained_numeric_training_feature,-0.2000000000000028,False,False
cpu_pct_missing_pct_120s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
ram_pct_mean_30s,float64,0,0.0,7365,0.0,retained,retained_numeric_training_feature,76.09375,False,False
ram_pct_max_30s,float64,0,0.0,331,0.0,retained,retained_numeric_training_feature,77.0,False,False
ram_pct_min_30s,float64,0,0.0,322,0.0,retained,retained_numeric_training_feature,75.5,False,False
ram_pct_std_30s,float64,21,0.1401,14115,0.0,retained,retained_numeric_training_feature,0.29787401162882254,True,False
ram_pct_change_30s,float64,0,0.0,275,0.0,retained,retained_numeric_training_feature,0.0,False,False
ram_pct_missing_pct_30s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
ram_pct_mean_60s,float64,0,0.0,9654,0.0,retained,retained_numeric_training_feature,76.13666666666667,False,False
ram_pct_max_60s,float64,0,0.0,320,0.0,retained,retained_numeric_training_feature,77.3,False,False
ram_pct_min_60s,float64,0,0.0,300,0.0,retained,retained_numeric_training_feature,75.3,False,False
ram_pct_std_60s,float64,21,0.1401,14399,0.0,retained,retained_numeric_training_feature,0.407246876643905,True,False
ram_pct_change_60s,float64,0,0.0,322,0.0,retained,retained_numeric_training_feature,0.0,False,False
ram_pct_missing_pct_60s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
ram_pct_mean_120s,float64,0,0.0,11382,0.0,retained,retained_numeric_training_feature,76.18688524590164,False,False
ram_pct_max_120s,float64,0,0.0,299,0.0,retained,retained_numeric_training_feature,77.6,False,False
ram_pct_min_120s,float64,0,0.0,287,0.0,retained,retained_numeric_training_feature,75.0,False,False
ram_pct_std_120s,float64,21,0.1401,14500,0.0,retained,retained_numeric_training_feature,0.5448119309885497,True,False
ram_pct_change_120s,float64,0,0.0,354,0.0,retained,retained_numeric_training_feature,0.0,False,False
ram_pct_missing_pct_120s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
swap_pct_mean_30s,float64,0,0.0,795,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_max_30s,float64,0,0.0,62,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_min_30s,float64,0,0.0,60,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_std_30s,float64,21,0.1401,882,0.0,retained,retained_numeric_training_feature,0.0,True,False
