comparison,feature,feature_type,train_mean,difficult_mean,train_median,difficult_median,train_std,difficult_std,train_p10,train_p25,train_p75,train_p90,train_p95,difficult_p10,difficult_p25,difficult_p75,difficult_p90,difficult_p95,train_missing_pct,difficult_missing_pct,missing_pct_difference,standardized_mean_difference,absolute_smd,psi,ks_statistic,shift_metric,shift_rank
train_negative_vs_difficult_negative,ram_pct_change_60s,engineered,-0.10353810691156559,-0.17419401896425962,0.0,0.0,1.3741755161850193,1.5885085271462283,-1.3000000000000114,-0.5,0.5,1.0999999999999943,1.6000000000000083,-1.7000000000000028,-0.6000000000000085,0.5,1.2000000000000028,1.7999999999999972,0.0,0.0,0.0,-0.047572902337478525,0.047572902337478525,0.024803460656712503,0.04066645119222298,0.11304281418641401,209
train_negative_vs_difficult_negative,disk_latency_ms_missing_pct_120s,engineered,0.1305216649441695,0.0,0.0,0.0,2.175214694998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0848585241594776,0.0848585241594776,0.0,0.014891515129340394,0.099750039288818,210
train_negative_vs_difficult_negative,disk_read_mb_s_missing_pct_120s,engineered,0.1305216649441695,0.0,0.0,0.0,2.175214694998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0848585241594776,0.0848585241594776,0.0,0.014891515129340394,0.099750039288818,211
train_negative_vs_difficult_negative,disk_write_mb_s_missing_pct_120s,engineered,0.1305216649441695,0.0,0.0,0.0,2.175214694998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0848585241594776,0.0848585241594776,0.0,0.014891515129340394,0.099750039288818,212
train_negative_vs_difficult_negative,net_sent_mb_s_missing_pct_120s,engineered,0.1305216649441695,0.0,0.0,0.0,2.175214694998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0848585241594776,0.0848585241594776,0.0,0.014891515129340394,0.099750039288818,213
train_negative_vs_difficult_negative,net_recv_mb_s_missing_pct_120s,engineered,0.1305216649441695,0.0,0.0,0.0,2.175214694998271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0848585241594776,0.0848585241594776,0.0,0.014891515129340394,0.099750039288818,214
train_negative_vs_difficult_negative,disk_latency_ms_missing_pct_60s,engineered,0.11312449104180648,0.0,0.0,0.0,2.1652431854940475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388647637349474,0.07388647637349474,0.0,0.007939702169697527,0.08182617854319227,215
train_negative_vs_difficult_negative,disk_read_mb_s_missing_pct_60s,engineered,0.11312449104180648,0.0,0.0,0.0,2.1652431854940475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388647637349474,0.07388647637349474,0.0,0.007939702169697527,0.08182617854319227,216
train_negative_vs_difficult_negative,disk_write_mb_s_missing_pct_60s,engineered,0.11312449104180648,0.0,0.0,0.0,2.1652431854940475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388647637349474,0.07388647637349474,0.0,0.007939702169697527,0.08182617854319227,217
train_negative_vs_difficult_negative,net_sent_mb_s_missing_pct_60s,engineered,0.11312449104180648,0.0,0.0,0.0,2.1652431854940475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388647637349474,0.07388647637349474,0.0,0.007939702169697527,0.08182617854319227,218
train_negative_vs_difficult_negative,net_recv_mb_s_missing_pct_60s,engineered,0.11312449104180648,0.0,0.0,0.0,2.1652431854940475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07388647637349474,0.07388647637349474,0.0,0.007939702169697527,0.08182617854319227,219
train_negative_vs_difficult_negative,disk_latency_ms_missing_pct_30s,engineered,0.09511128336820773,0.0,0.0,0.0,2.1444132032115615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272469628175473,0.06272469628175473,0.0,0.004171087775785787,0.06689578405754051,220
train_negative_vs_difficult_negative,disk_read_mb_s_missing_pct_30s,engineered,0.09511128336820773,0.0,0.0,0.0,2.1444132032115615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272469628175473,0.06272469628175473,0.0,0.004171087775785787,0.06689578405754051,221
train_negative_vs_difficult_negative,disk_write_mb_s_missing_pct_30s,engineered,0.09511128336820773,0.0,0.0,0.0,2.1444132032115615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272469628175473,0.06272469628175473,0.0,0.004171087775785787,0.06689578405754051,222
train_negative_vs_difficult_negative,net_sent_mb_s_missing_pct_30s,engineered,0.09511128336820773,0.0,0.0,0.0,2.1444132032115615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272469628175473,0.06272469628175473,0.0,0.004171087775785787,0.06689578405754051,223
train_negative_vs_difficult_negative,net_recv_mb_s_missing_pct_30s,engineered,0.09511128336820773,0.0,0.0,0.0,2.1444132032115615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272469628175473,0.06272469628175473,0.0,0.004171087775785787,0.06689578405754051,224
train_negative_vs_difficult_negative,swap_pct_change_30s,engineered,0.0070286487870915805,0.010780452224653535,0.0,0.0,0.22583619432176882,0.18139029775521467,0.0,0.0,0.0,0.0,0.0999999999999943,0.0,0.0,0.0,0.0,0.0999999999999996,0.0,0.0,0.0,0.01831734973155353,0.01831734973155353,0.01331085649290003,0.0341613727446072,0.06578957896906076,225
train_negative_vs_difficult_negative,ram_pct_diff,engineered,-0.0017718228909267284,-0.006593727206418675,0.0,0.0,0.3495538358566613,0.3797627158985923,-0.2000000000000028,-0.0999999999999943,0.0999999999999943,0.2000000000000028,0.5,-0.2000000000000028,-0.0999999999999943,0.0999999999999943,0.2000000000000028,0.5,0.05305330942885369,0.0,-0.05305330942885369,-0.01321174787185747,0.01321174787185747,0.00813674061884389,0.030771913048921934,0.052120401539623294,226
train_negative_vs_difficult_negative,battery_plugged,raw,0.49990852877684683,0.5152443471918308,0.0,1.0,0.5000045652568497,0.499804012612938,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.030677508566943647,0.030677508566943647,,0.015335818414983882,0.030677508566943647,227
train_negative_vs_difficult_negative,swap_pct_diff,engineered,0.0005015283802829792,0.0009628008752735231,0.0,0.0,0.05984590240566603,0.045506656433133556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05305330942885369,0.0,-0.05305330942885369,0.008676739943930752,0.008676739943930752,0.0011293569046942004,0.0052778113884327515,0.015083908237057703,228
train_positive_vs_difficult_positive,disk_free_gb,raw,248.62289914178317,140.7313451631368,179.66,140.32,110.20229583859147,1.2013229484131638,156.58,161.46,388.33,406.06,406.91,139.52,139.74,141.535,142.5,142.797,0.0,0.0,0.0,-1.384477815579392,1.384477815579392,12.447311532508124,1.0,7.384477815579392,1
train_positive_vs_difficult_positive,disk_usage_pct,raw,45.79206326689837,70.43199771036062,62.3,70.5,26.07145064027817,0.24748601727408195,3.0,15.0,66.1,67.1,67.6,70.1,70.3,70.6,70.7,70.7,0.0,0.0,0.0,1.3365025240764936,1.3365025240764936,12.236216044251897,1.0,7.336502524076494,2
train_positive_vs_difficult_positive,thread_count_mean_60s,engineered,3685.5503380201285,4556.563196469512,3805.4032258064517,4501.357142857143,1105.6922665716634,304.3871941744086,2159.360967741936,2655.925,4665.207589285714,4968.89375,5157.886249999999,4203.76,4304.759946949602,4814.055555555556,4964.533333333334,5090.662962962962,0.0,0.0,0.0,1.0740945581438734,1.0740945581438734,6.575613665021195,0.5842513076940222,6.658345865837895,3
train_positive_vs_difficult_positive,thread_count_mean_120s,engineered,3687.7790122167266,4548.150304334812,3802.9413510457885,4504.382352941177,1105.0813789823699,294.0003292446254,2160.029426229508,2666.309957627119,4666.358664772727,4968.512903225806,5164.242115384614,4210.296947427925,4289.872727272727,4805.29573934837,4937.035555555555,5044.213565891472,0.0,0.0,0.0,1.0640367702891105,1.0640367702891105,6.673716675649465,0.5911057521810057,6.655142522470117,4
train_positive_vs_difficult_positive,thread_count_mean_30s,engineered,3684.423983259536,4558.416749315526,3804.6125,4499.777777777777,1105.8834302581874,309.8217892143754,2159.266666666667,2655.823660714286,4664.25,4968.075,5161.574999999999,4205.573333333333,4304.982954545454,4815.354166666666,4977.222727272727,5088.8478787878785,0.0,0.0,0.0,1.076231639154632,1.076231639154632,6.555240585028303,0.5768299545697643,6.653061593724397,5
train_positive_vs_difficult_positive,thread_count_max_30s,engineered,3720.5383360522023,4601.1763022323985,3839.0,4530.0,1108.7482917284283,321.85967688271023,2180.0,2687.0,4694.0,5002.0,5191.0,4214.0,4345.5,4855.0,5019.0,5165.7,0.0,0.0,0.0,1.0787254940250823,1.0787254940250823,6.53797941702284,0.5710034443247081,6.64972893834979,6
train_positive_vs_difficult_positive,thread_count_max_60s,engineered,3744.853748492801,4628.931310818546,3863.0,4570.0,1111.8714048641905,328.6343673419192,2190.0,2714.0,4717.0,5022.0,5206.0,4223.6,4364.0,4881.0,5107.0,5191.0,0.0,0.0,0.0,1.078360470587837,1.078360470587837,6.454968350836977,0.5695504554777073,6.647910926065545,7
